Nombre;CategorÃ­a;Definicion;Caracteristicas
AMARRE PLASTICO BLANCO 4.8 X 30 cm FORTE  UN;HERRAJES Y SOPORTES;;
AMARRE PLASTICO BLANCO 4.8 X 25cm FORTE UN;HERRAJES Y SOPORTES;;
AMARRE PLASTICO BLANCO 4.8 X 37cmFORTE UN;HERRAJES Y SOPORTES;;
AMARRE PLASTICO BLANCO 7.6 X 40cm FORTE U;HERRAJES Y SOPORTES;;
AMARRE PLASTICO N 10 BLANCO 2.4 DOC;HERRAJES Y SOPORTES;;
AMARRE PLASTICO N 10 BLANCO 2.4 PAQ X 100;HERRAJES Y SOPORTES;;
AMARRE PLASTICO N 10 BLANCO 2.4 UN;HERRAJES Y SOPORTES;;
AMARRE PLASTICO N 10 NEGRO 2.5 DOC;HERRAJES Y SOPORTES;;
AMARRE PLASTICO N 10 NEGRO 2.5 PAQ X 100;HERRAJES Y SOPORTES;;
AMARRE PLASTICO N 10 NEGRO 2.5 UN;HERRAJES Y SOPORTES;;
AMARRE PLASTICO N 15 BLANCO 25 DOC;HERRAJES Y SOPORTES;;
AMARRE PLASTICO N 15 BLANCO 25 PAQ X 100;HERRAJES Y SOPORTES;;
AMARRE PLASTICO N 15 BLANCO 25 U;HERRAJES Y SOPORTES;;
